,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
1048,1645894800,0,0,2729987453,1.1584,1.0905,1.0816,1.0505,39112.7,39114.8,2937.214,34035.0
1049,1645896600,0,0,2725877556,1.1636,1.093,1.0859,1.0352,39229.8,39231.24857853,2994.575,34630.0
1050,1645898400,0,0,2732145830,1.1547,1.093,1.0773,0.7195,38926.0,38929.01654486,7607.678,79293.0
1051,1645900200,0,892,2691814849,1.1673,1.0882,1.0829,1.3549,39090.9,39090.6,3624.165,43897.0
1052,1645902000,492993,0,2700509211,1.1697,1.0896,1.0886,1.4055,39314.4,39311.2,6716.455,75019.0
1053,1645903800,5094,0,2713631074,1.157,1.0886,1.0768,0.7419,39238.4,39238.82648382,2944.612,36927.0
1054,1645905600,0,0,2704422911,1.1524,1.0903,1.0661,1.2685,39299.5,39304.32520815,1793.03,25982.0
1055,1645907400,49273,0,2709100531,1.1612,1.089,1.0781,1.0873,39303.0,39304.1,2272.079,31895.0
1056,1645909200,211348,0,2707414349,1.1626,1.0882,1.0807,1.5346,39609.1,39609.2,7263.789,78605.0
1057,1645911000,0,0,2727068618,1.1668,1.0868,1.0991,0.8488,39420.9,39426.58034075,4467.361,49172.0
1058,1645912800,0,0,2708490707,1.172,1.0872,1.1057,0.6445,39190.8,39193.14525998,4790.998,54962.0
1059,1645914600,56528,1097,2678802164,1.1772,1.0819,1.1013,0.8301,39126.7,39136.66178367,3655.464,38648.0
1060,1645916400,0,1969,2675538433,1.1815,1.0835,1.1039,0.9118,39002.3,39019.71602221,5858.063,53728.0
1061,1645918200,0,1100,2660568209,1.1939,1.083,1.1164,1.2302,39099.3,39097.5,5118.194,50885.0
1062,1645920000,1032,0,2662652898,1.2104,1.0843,1.1372,0.8177,38938.3,38939.3,5067.577,53124.0
1063,1645921800,0,347563,2648050119,1.1973,1.0798,1.1459,0.8261,38766.5,38786.14960189,7126.441,79102.0
1064,1645923600,0,102418,2635559436,1.1964,1.0797,1.129,0.7363,38350.7,38342.6,13160.357,126290.0
1065,1645925400,0,614,2597194856,1.1863,1.0761,1.089,0.898,38228.3,38226.5,6297.643,60054.0
1066,1645927200,0,69134,2592897477,1.1834,1.0793,1.0881,1.2275,38481.4,38479.9,6314.245,64488.0
1067,1645929000,0,0,2607743752,1.173,1.0868,1.0786,1.1399,38512.8,38514.32085251,3180.384,36112.0
1068,1645930800,0,0,2618043505,1.1763,1.0876,1.0851,1.5043,38630.0,38629.9,4061.827,40409.0
1069,1645932600,0,0,2633406830,1.1891,1.092,1.1124,0.9515,38584.1,38583.1,2638.005,28207.0
1070,1645934400,0,0,2629420170,1.1701,1.0918,1.0894,0.9849,38631.1,38629.9,3159.293,32838.0
1071,1645936200,0,0,2627182955,1.165,1.0933,1.0812,0.745,38530.5,38530.4695033,2929.037,32018.0
1072,1645938000,0,0,2624155026,1.1519,1.0918,1.0602,1.4303,38612.3,38610.4,3123.072,34789.0
1073,1645939800,0,0,2636776782,1.1547,1.0936,1.0653,1.3101,38563.1,38568.51526321,4425.974,41832.0
1074,1645941600,0,0,2626207033,1.1668,1.0964,1.0838,1.4793,38673.6,38675.4108324,2422.869,30581.0
1075,1645943400,1353,0,2632981747,1.1791,1.099,1.0991,1.3955,38757.2,38757.3,3864.738,41598.0
1076,1645945200,959,0,2646129853,1.1844,1.0967,1.116,0.9089,38787.5,38788.1,2971.455,38725.0
1077,1645947000,0,0,2649391618,1.1911,1.0944,1.1295,0.8497,38770.3,38776.39005461,2559.203,32631.0
1078,1645948800,0,0,2651762598,1.1954,1.0908,1.1263,0.7754,38732.7,38734.01017361,4161.119,46913.0
1079,1645950600,0,0,2650398406,1.1825,1.0842,1.1,1.1575,38787.2,38790.85562532,6640.93,65825.0
1080,1645952400,27492,0,2655638423,1.1725,1.0862,1.0938,1.2949,38915.0,38918.9,8508.87,84255.0
1081,1645954200,1168,0,2662962489,1.1834,1.0839,1.1231,0.9648,39053.7,39071.1,4708.263,51173.0
1082,1645956000,9250,0,2673501945,1.1711,1.0817,1.1115,1.2623,39151.8,39163.99803983,5015.415,55514.0
